Source,City,Distance,Average(ms),%of SOL f/0,min,max,mdev,Last Checked
Dubrovnik,Timisoara,537.0km,25.905,8.43%,44.08ms,55.24ms,3.24ms,2022-01-07 05:03:10
Dubrovnik,Dunaujvaros,773.0km,16.259999999999998,25.52%,27.13ms,28.31ms,0.39ms,2022-01-07 04:06:13
Dubrovnik,Stuttgart,1391.0km,30.090000000000003,25.90%,48.59ms,49.00ms,0.23ms,2022-01-07 04:43:27
Dubrovnik,Lille,1661.0km,30.38,32.94%,49.62ms,52.28ms,0.74ms,2022-01-07 04:38:12
Dubrovnik,Walserberg,1127.0km,34.77,19.17%,46.20ms,107.99ms,16.75ms,2022-01-07 04:30:43
Dubrovnik,Sofia,328.0km,14.59,11.31%,29.09ms,29.45ms,0.08ms,2022-01-07 04:42:26
Dubrovnik,Varna,698.0km,20.49,17.45%,40.39ms,41.45ms,0.32ms,2022-01-07 04:47:06
Dubrovnik,Istanbul,767.0km,18.89,20.73%,37.65ms,38.05ms,0.15ms,2022-01-07 04:20:12
Dubrovnik,Beirut,1604.0km,49.67,16.20%,96.82ms,113.78ms,3.16ms,2022-01-07 05:02:47
Dubrovnik,Milan,973.0km,22.32,22.11%,44.51ms,44.79ms,0.26ms,2022-01-07 04:29:05
Dubrovnik,Venice,759.0km,25.445,15.18%,50.73ms,52.06ms,0.39ms,2022-01-07 04:47:19
Dubrovnik,Rome,611.0km,20.435,15.28%,40.77ms,40.94ms,0.19ms,2022-01-07 04:37:36
Dubrovnik,Lyon,1307.0km,32.805,20.11%,65.40ms,65.90ms,0.32ms,2022-01-07 04:26:39
Dubrovnik,Tirana,273.0km,10.365
Dubrovnik,Tel-Aviv,1687.0km,44.005,19.17%,87.88ms,88.28ms,0.12ms,2022-01-07 04:44:53
Dubrovnik,Thessaloniki,269.0km,26.685,5.08%,47.46ms,119.42ms,17.32ms,2022-01-07 04:45:17
Dubrovnik,Athens,501.0km,20.74,12.22%,41.37ms,41.65ms,0.19ms,2022-01-07 05:00:44
