Source,City,Distance,Average(ms),%of SOL f/0,min,max,mdev,Last Checked
Cheyenne,Salt-Lake,594.0km,8.09,37.12%,15.98ms,16.59ms,0.16ms,2022-01-07 02:38:47
Cheyenne,Denver,156.0km,14.94,5.38%,29.56ms,30.86ms,0.34ms,2022-01-07 02:12:05
Cheyenne,Albany,2561.0km,25.955,50.22%,51.68ms,53.02ms,0.38ms,2022-01-07 03:00:19
Cheyenne,Portland,1520.0km,17.06,44.71%,33.76ms,35.02ms,0.36ms,2022-01-07 02:35:21
Cheyenne,Eugene,1656.0km,21.035,42.81%,35.11ms,45.25ms,2.97ms,2022-01-07 02:37:46
Cheyenne,Spokane,2671.0km,36.94,44.96%,51.64ms,62.01ms,1.92ms,2022-01-07 02:48:17
Cheyenne,Seattle,1562.0km,13.57,57.85%,26.96ms,27.67ms,0.20ms,2022-01-07 02:41:00
Cheyenne,Burbank,1436.0km,29.44,29.54%,48.22ms,51.30ms,0.59ms,2022-01-07 02:26:02
Cheyenne,Los-Angeles,1418.0km,24.35,29.54%,48.22ms,51.30ms,0.59ms,2022-01-07 02:26:02
Cheyenne,Newark,2622.0km,38.875,42.70%,61.01ms,65.24ms,0.89ms,2022-01-07 02:31:41
Cheyenne,New-York,2605.0km,30.79,42.70%,61.01ms,65.24ms,0.89ms,2022-01-07 02:31:41
Cheyenne,Boston,2786.0km,29.565,47.22%,58.23ms,63.57ms,1.37ms,2022-01-07 03:04:10
Cheyenne,Eckington,2342.0km,34.295,44.96%,51.64ms,62.01ms,1.92ms,2022-01-07 02:48:17
Cheyenne,Europe,2578.0km,28.665,45.23%,53.20ms,85.49ms,8.74ms,2022-01-07 02:27:40
Cheyenne,Tukwita,1579.0km,17.655,57.85%,26.96ms,27.67ms,0.20ms,2022-01-07 02:41:00
Cheyenne,Washington,2338.0km,26.275,44.96%,51.64ms,62.01ms,1.92ms,2022-01-07 02:48:17
Cheyenne,Chicago,1430.0km,13.73,52.96%,27.26ms,28.35ms,0.30ms,2022-01-07 03:09:15
Cheyenne,Dallas,1169.0km,13.12,44.96%,24.67ms,56.48ms,5.65ms,2022-01-07 02:11:39
Cheyenne,Albuquerque,688.0km,24.325,14.33%,48.04ms,51.11ms,0.68ms,2022-01-07 03:00:20
Cheyenne,Tucson,1280.0km,36.915,17.00%,63.35ms,65.30ms,0.47ms,2022-01-07 02:34:43
Cheyenne,Phoenix,1071.0km,31.87,17.00%,63.35ms,65.30ms,0.47ms,2022-01-07 02:34:43
Cheyenne,Cermak,1440.0km,22.78,52.96%,27.26ms,28.35ms,0.30ms,2022-01-07 03:09:15
Cheyenne,Atlanta,1976.0km,19.78,50.67%,39.23ms,40.98ms,0.46ms,2022-01-07 03:00:56
Cheyenne,Tampa,2507.0km,27.395,46.43%,54.34ms,57.59ms,0.63ms,2022-01-07 02:44:26
Cheyenne,Houston,1526.0km,14.165,54.50%,27.98ms,30.55ms,0.51ms,2022-01-07 02:19:09
Cheyenne,LasVegas,1058.0km,24.44,22.04%,48.41ms,50.37ms,0.55ms,2022-01-07 02:24:12
Cheyenne,Kansas,899.0km,34.015,13.22%,67.73ms,68.41ms,0.36ms,2022-01-07 02:21:58
Cheyenne,Sunnyvale,1551.0km,16.785,61.24%,25.05ms,26.43ms,0.39ms,2022-01-07 02:39:36
Cheyenne,Boise,1139.0km,12.815,37.12%,15.98ms,16.59ms,0.16ms,2022-01-07 02:38:47
Cheyenne,Helena,1350.0km,14.8699,37.12%,15.98ms,16.59ms,0.16ms,2022-01-07 02:38:47
Cheyenne,Billings,728km,5.64
Cheyenne,Fargo,1368.0km,17.53,39.60%,24.47ms,26.84ms,0.65ms,2022-01-07 02:29:28
Cheyenne,Minneapolis,990.0km,12.64,39.60%,24.47ms,26.84ms,0.65ms,2022-01-07 02:29:28
