Source,City,Distance,Average(ms),%of SOL f/0,min,max,mdev,Last Checked
Los-Angeles,NYIX,3948km,37.66,52.64%,75.07ms,75.87ms,0.40ms,2021-12-31 15:00:18
Los-Angeles,Chennai,14423km,116.68,61.90%,233.05ms,233.58ms,0.58ms,2021-12-31 15:08:49
Los-Angeles,Hong-Kong,11654km,78.175,74.71%,156.05ms,157.04ms,0.19ms,2021-12-31 15:18:44
Los-Angeles,London,8758km,65.1,67.37%,129.49ms,137.77ms,1.47ms,2021-12-31 15:25:49
Los-Angeles,Marseille,9460km,75.015,63.07%,149.84ms,151.12ms,0.57ms,2021-12-31 14:26:38
Los-Angeles,Mumbai,13995km,119.34,58.80%,238.17ms,242.69ms,1.09ms,2021-12-31 14:30:30
Los-Angeles,New-York,3966km,36.555,54.33%,72.90ms,73.50ms,0.30ms,2021-12-31 14:31:42
Los-Angeles,Palermo,10566km,86.05,61.43%,171.80ms,172.57ms,0.28ms,2021-12-31 14:33:32
Los-Angeles,LAIX,179km,2.11,44.75%,3.92ms,5.03ms,0.24ms,2021-12-31 14:39:13
Los-Angeles,Singapore,14129km,84.9,83.60%,169.31ms,171.10ms,0.47ms,2021-12-31 14:42:15
Los-Angeles,HKIX,11673km,86.27,74.71%,156.05ms,157.04ms,0.19ms,2021-12-31 15:18:44
Los-Angeles,LINX,8774km,73.179,67.37%,129.49ms,137.77ms,1.47ms,2021-12-31 15:25:49
Los-Angeles,NiXI,14031km,125.52,58.80%,238.17ms,242.69ms,1.09ms,2021-12-31 14:30:30
Los-Angeles,EQUINOX-IX,4055km,43.0,54.33%,72.90ms,73.50ms,0.30ms,2021-12-31 14:31:42
Los-Angeles,STIX,14144km,91.975,83.60%,169.31ms,171.10ms,0.47ms,2021-12-31 14:42:15
Chennai,NYIX,13269km,106.79,62.30%,213.04ms,215.21ms,0.65ms,2021-12-31 15:00:17
Chennai,Hong-Kong,3725km,32.925,57.31%,65.60ms,68.04ms,0.56ms,2021-12-31 15:18:44
Chennai,London,8212km,72.295,57.03%,142.46ms,153.37ms,2.91ms,2021-12-31 15:25:49
Chennai,Los-Angeles,14423km,116.605,61.90%,233.00ms,233.57ms,0.68ms,2021-12-31 15:26:05
Chennai,Marseille,7852km,68.2,57.74%,136.20ms,136.64ms,0.40ms,2021-12-31 14:26:38
Chennai,Mumbai,1033km,13.795,38.26%,27.27ms,29.96ms,0.66ms,2021-12-31 14:30:30
Chennai,New-York,13460km,121.115,55.62%,242.12ms,242.42ms,0.41ms,2021-12-31 14:31:41
Chennai,Palermo,7104km,80.15,44.40%,160.18ms,160.53ms,0.52ms,2021-12-31 14:33:32
Chennai,LAIX,14600km,100.68,72.64%,200.84ms,203.64ms,0.80ms,2021-12-31 14:39:12
Chennai,Singapore,2895km,17.04,85.15%,33.88ms,34.66ms,0.27ms,2021-12-31 14:42:13
Chennai,HKIX,3744km,41.019,57.31%,65.60ms,68.04ms,0.56ms,2021-12-31 15:18:44
Chennai,LINX,8228km,80.375,57.03%,142.46ms,153.37ms,2.91ms,2021-12-31 15:25:49
Chennai,NiXI,1069km,19.975,38.26%,27.27ms,29.96ms,0.66ms,2021-12-31 14:30:30
Chennai,EQUINOX-IX,13549km,127.56,55.62%,242.12ms,242.42ms,0.41ms,2021-12-31 14:31:41
Chennai,STIX,2910km,24.115,85.15%,33.88ms,34.66ms,0.27ms,2021-12-31 14:42:13
New-York,NYIX,224km,2.37,56.00%,4.64ms,5.18ms,0.12ms,2021-12-31 15:00:18
New-York,Chennai,13460km,121.125,55.62%,242.11ms,242.47ms,0.69ms,2021-12-31 15:08:50
New-York,Hong-Kong,12963km,125.14,51.85%,250.15ms,250.91ms,0.70ms,2021-12-31 15:18:44
New-York,London,5548km,35.415,79.26%,70.61ms,72.20ms,0.33ms,2021-12-31 15:25:49
New-York,Los-Angeles,3966km,36.54,54.33%,72.88ms,73.58ms,0.31ms,2021-12-31 15:26:03
New-York,Marseille,6117km,49.285,62.42%,98.46ms,98.88ms,0.20ms,2021-12-31 14:26:38
New-York,Mumbai,12523km,101.83,61.69%,203.46ms,205.65ms,0.55ms,2021-12-31 14:30:30
New-York,Palermo,7151km,56.9,63.28%,113.71ms,114.52ms,0.34ms,2021-12-31 14:33:33
New-York,LAIX,3937km,35.155,56.24%,70.03ms,71.53ms,0.33ms,2021-12-31 14:39:13
New-York,Singapore,15331km,113.715,67.54%,227.31ms,227.77ms,0.64ms,2021-12-31 14:42:13
New-York,HKIX,12982km,133.23,51.85%,250.15ms,250.91ms,0.70ms,2021-12-31 15:18:44
New-York,LINX,5564km,43.495,79.26%,70.61ms,72.20ms,0.33ms,2021-12-31 15:25:49
New-York,NiXI,12559km,108.00,61.69%,203.46ms,205.65ms,0.55ms,2021-12-31 14:30:30
New-York,STIX,15346km,120.79,67.54%,227.31ms,227.77ms,0.64ms,2021-12-31 14:42:13
London,NYIX,5417km,36.81,74.21%,73.22ms,74.61ms,0.46ms,2021-12-31 15:00:18
London,Chennai,8212km,71.75,57.43%,142.46ms,146.65ms,1.23ms,2021-12-31 15:08:49
London,Hong-Kong,9625km,99.78,48.37%,198.95ms,205.29ms,1.32ms,2021-12-31 15:18:44
London,Los-Angeles,8758km,65.135,67.37%,129.59ms,140.09ms,1.90ms,2021-12-31 15:26:03
London,Marseille,733km,16.855,22.21%,33.42ms,35.58ms,0.43ms,2021-12-31 14:26:38
London,Mumbai,7192km,61.355,58.95%,122.43ms,123.68ms,0.52ms,2021-12-31 14:30:30
London,New-York,5548km,35.475,79.26%,70.61ms,74.70ms,0.78ms,2021-12-31 14:31:42
London,Palermo,1824km,21.725,42.42%,42.87ms,51.24ms,1.59ms,2021-12-31 14:33:32
London,LAIX,8824km,65.89,67.36%,131.31ms,133.03ms,0.47ms,2021-12-31 14:39:13
London,Singapore,10843km,80.54,67.35%,160.78ms,162.03ms,0.38ms,2021-12-31 14:42:13
London,HKIX,9644km,107.87,48.37%,198.95ms,205.29ms,1.32ms,2021-12-31 15:18:44
London,NiXI,7228km,67.535,58.95%,122.43ms,123.68ms,0.52ms,2021-12-31 14:30:30
London,EQUINOX-IX,5637km,41.92,79.26%,70.61ms,74.70ms,0.78ms,2021-12-31 14:31:42
London,STIX,10858km,87.615,67.35%,160.78ms,162.03ms,0.38ms,2021-12-31 14:42:13
Mumbai,NYIX,12342km,104.885,59.05%,208.90ms,212.42ms,0.88ms,2021-12-31 15:00:26
Mumbai,Chennai,1033km,13.905,38.26%,27.26ms,32.63ms,1.08ms,2021-12-31 15:08:50
