Source,City,Distance,Average(ms),%of SOL f/0,min,max,mdev,Last Checked
HongKong,Singapore,2586.0km,16.515,78.36%,32.88ms,33.34ms,0.22ms,2022-03-31 15:42:59
HongKong,Taipei,809.0km,29.54,13.71%,58.88ms,59.59ms,0.30ms,2022-03-31 15:44:49
HongKong,Osaka,2491.0km,30.31,41.52%,58.28ms,62.20ms,0.72ms,2022-03-31 15:33:25
HongKong,Tokyo,2887.0km,57.765,25.10%,115.04ms,120.16ms,1.10ms,2022-03-31 15:46:27
HongKong,LosAngeles,11654.0km,78.81,74.23%,155.32ms,162.50ms,1.98ms,2022-03-31 15:26:39
HongKong,thedalles,10681.0km,72.175,81.11%,130.62ms,133.01ms,0.63ms,2022-03-31 15:36:04
HongKong,Eemshaven,9172.0km,111.96000000000001,42.50%,215.41ms,216.53ms,0.64ms,2022-03-31 15:16:52
HongKong,Dublin,9852.0km,124.55,39.57%,248.65ms,250.56ms,0.65ms,2022-03-31 16:13:37
HongKong,Stghislain,9552.0km,100.99499999999999,48.10%,196.95ms,198.05ms,0.45ms,2022-03-31 15:38:54
HongKong,Paris,9629.0km,150.345,32.10%,299.05ms,328.24ms,5.44ms,2022-03-31 15:34:38
HongKong,Hamina,7991.0km,105.22500000000001,38.84%,202.81ms,203.25ms,0.62ms,2022-03-31 14:18:19
HongKong,Dallas,13067.0km,96.73,67.70%,187.37ms,276.46ms,17.50ms,2022-03-31 16:11:48
HongKong,mayescounty,13017.0km,111.455,59.71%,195.07ms,236.24ms,10.75ms,2022-03-31 15:32:59
HongKong,SanAntonio,13288.0km,98.42,67.80%,196.65ms,198.06ms,0.69ms,2022-03-31 15:39:43
HongKong,Jacksoncounty,12725.0km,104.355,65.79%,189.25ms,197.86ms,2.20ms,2022-03-31 15:22:10
HongKong,OklahomaCity,12777.0km,107.255,59.71%,195.07ms,236.24ms,10.75ms,2022-03-31 15:32:59
HongKong,DesMoines,12359.0km,87.94,70.62%,175.66ms,176.53ms,0.51ms,2022-03-31 16:12:25
HongKong,papillion,12389.0km,90.93,72.83%,168.72ms,170.51ms,0.62ms,2022-03-31 15:25:51
HongKong,councilbluffs,12409.0km,93.03,72.83%,168.72ms,170.51ms,0.62ms,2022-03-31 15:25:51
HongKong,Douglascounty,12158.0km,90.845,75.16%,160.76ms,162.53ms,0.54ms,2022-03-31 16:10:34
