Source,City,Distance,Average(ms),%of SOL f/0,min,max,mdev,Last Checked
Eemshaven,Hamina,1489.0km,21.59,43.32%,30.30ms,35.30ms,1.46ms,2022/1/6 15:18
Dublin,HongKong,9852.0km,128.855,38.33%,257.37ms,259.29ms,0.57ms,2022/1/6 15:18
Dublin,Taipei,9959.0km,115.26,43.30%,230.12ms,231.16ms,0.43ms,2022/1/6 15:44
Dublin,thedalles,7619.0km,84.595,48.90%,153.56ms,154.35ms,0.45ms,2022/1/6 15:35
Dublin,DesMoines,6275.0km,49.99,63.38%,99.87ms,100.27ms,0.26ms,2022/1/6 15:12
Dublin,Dallas,7180.0km,59.7,60.34%,119.13ms,121.47ms,0.59ms,2022/1/6 15:11
Dublin,Richmond,6189.0km,53.34,60.20%,101.37ms,101.95ms,0.25ms,2022/1/6 15:29
Dublin,Atlanta,6315.0km,49.63,63.79%,98.99ms,99.90ms,0.32ms,2022/1/6 15:00
Dublin,Columbus,5776.0km,64.79,50.85%,113.07ms,113.51ms,0.33ms,2022/1/6 15:10
Dublin,Eemshaven,885.0km,20.165,37.00%,23.71ms,24.59ms,0.22ms,2022/1/6 15:16
Dublin,Stghislain,785.0km,19.63,39.39%,17.95ms,19.14ms,0.38ms,2022/1/6 15:38
Dublin,Hamina,2155.0km,25.025,52.87%,37.16ms,42.88ms,1.64ms,2022/1/6 15:18
Stghislain,HongKong,9476.0km,98.69,48.10%,196.23ms,205.28ms,1.69ms,2022/1/6 15:18
Stghislain,Taipei,9660.0km,134.235,36.04%,268.33ms,269.50ms,0.65ms,2022/1/6 15:44
Stghislain,thedalles,8258.0km,80.79,55.62%,145.94ms,146.47ms,0.52ms,2022/1/6 15:35
Stghislain,DesMoines,6982.0km,63.15,55.41%,125.96ms,126.83ms,0.20ms,2022/1/6 15:12
Stghislain,Dallas,7890.0km,59.855,66.30%,119.24ms,121.03ms,0.59ms,2022/1/6 15:11
Stghislain,Richmond,6896.0km,54.34,65.89%,103.25ms,104.81ms,0.37ms,2022/1/6 15:29
Stghislain,Atlanta,7020.0km,51.455,68.82%,102.61ms,103.09ms,0.41ms,2022/1/6 15:00
Stghislain,Columbus,6485.0km,58.085,65.20%,99.40ms,100.11ms,0.39ms,2022/1/6 15:10
Stghislain,Eemshaven,398.0km,14.25,30.33%,11.86ms,12.64ms,0.19ms,2022/1/6 15:16
Stghislain,Dublin,709.0km,8.92,41.71%,17.61ms,18.09ms,0.16ms,2022/1/6 15:13
Stghislain,Hamina,1852.0km,29.65,36.30%,46.41ms,51.97ms,1.66ms,2022/1/6 15:18
Hamina,HongKong,7845.0km,101.945,38.65%,201.50ms,214.72ms,2.66ms,2022/1/6 15:18
Hamina,Taipei,7979.0km,113.235,35.31%,224.13ms,237.27ms,2.59ms,2022/1/6 15:44
Hamina,thedalles,8029.0km,84.645,51.58%,151.51ms,157.31ms,2.16ms,2022/1/6 15:35
Hamina,DesMoines,7387.0km,63.055,58.63%,125.54ms,129.95ms,0.94ms,2022/1/6 15:12
Hamina,Dallas,8387.0km,64.29,65.52%,127.78ms,130.80ms,0.88ms,2022/1/6 15:11
Hamina,Richmond,7335.0km,63.96,59.23%,121.43ms,126.81ms,1.56ms,2022/1/6 15:29
Hamina,Atlanta,7749.0km,55.92,69.81%,110.99ms,115.97ms,1.16ms,2022/1/6 15:00
Hamina,Columbus,7123.0km,75.89,52.54%,134.84ms,137.72ms,0.71ms,2022/1/6 15:10
Hamina,Eemshaven,1377.0km,23.505,44.77%,30.20ms,35.42ms,0.95ms,2022/1/6 15:16
Hamina,Dublin,2009.0km,19.605,51.51%,37.19ms,42.70ms,1.88ms,2022/1/6 15:13
Hamina,Stghislain,1782.0km,35.035,34.82%,46.93ms,55.76ms,2.17ms,2022/1/6 15:38
