Source,City,Distance,Average(ms),%of SOL f/0,min,max,mdev,Last Checked
Washington-DC,Miami,1492.0km,13.11,57.38%,26.18ms,26.84ms,0.19ms,2022-01-07 02:28:53
Washington-DC,Atlanta,854.0km,6.59,65.69%,13.13ms,13.21ms,0.12ms,2022-01-07 02:00:56
Washington-DC,New-York-City,374.0km,4.265,46.75%,8.16ms,9.18ms,0.47ms,2022-01-07 02:31:41
Washington-DC,Geneva,6562.0km,46.02,71.33%,89.26ms,143.09ms,9.51ms,2022-01-07 02:15:42
Washington-DC,Frankfurt,6549.0km,52.645,62.37%,105.25ms,105.78ms,0.25ms,2022-01-07 02:14:53
Washington-DC,Paris,6184.0km,41.185,75.41%,81.73ms,84.25ms,0.52ms,2022-01-07 02:33:55
Washington-DC,Madrid,6116.0km,46.125,66.48%,91.79ms,92.28ms,0.16ms,2022-01-07 02:26:50
Washington-DC,Dusseldorf,6376.0km,43.925,73.29%,87.25ms,89.26ms,0.55ms,2022-01-07 02:13:41
Washington-DC,Amsterdam,6198.0km,44.13,70.43%,87.96ms,91.00ms,0.73ms,2022-01-07 02:00:22
Washington-DC,Cairo,9370.0km,63.98,73.78%,127.29ms,130.30ms,0.81ms,2022-01-07 02:07:00
Washington-DC,Ar-Riyad,12375.0km,105.6999,58.95%,192.99ms,194.38ms,0.31ms,2022-01-07 02:13:18
Washington-DC,Chennai,13783.0km,113.22,60.99%,226.33ms,227.43ms,0.54ms,2022-01-07 02:08:49
Washington-DC,Colombo,14386.0km,125.49,59.76%,229.39ms,230.73ms,0.70ms,2022-01-07 02:01:57
Washington-DC,Bangkok,14152.0km,131.35,54.02%,262.35ms,265.42ms,0.82ms,2022-01-07 02:02:09
Washington-DC,Ho-Chi-Minh,14466.0km,128.705,56.29%,249.54ms,332.38ms,21.38ms,2022-01-07 02:18:33
Washington-DC,Brunei,18532.0km,146.575,63.92%,242.40ms,243.68ms,0.50ms,2022-01-07 02:42:15
Washington-DC,Lagos,8756.0km,91.815,47.85%,183.30ms,185.37ms,0.80ms,2022-01-07 02:23:36
Washington-DC,Johannesburg,13080.0km,117.71,55.66%,235.32ms,235.94ms,0.16ms,2022-01-07 02:21:36
Washington-DC,Cape-Town,12749.0km,111.225,57.43%,221.55ms,224.44ms,0.66ms,2022-01-07 02:07:37
Washington-DC,Seoul,11150.0km,96.44,58.07%,192.36ms,193.38ms,0.65ms,2022-01-07 02:41:25
Washington-DC,Dubai,11377.0km,96.71,58.95%,192.99ms,194.38ms,0.31ms,2022-01-07 02:13:18
Washington-DC,Beijing,11258.0km,119.27,50.29%,220.36ms,224.39ms,0.95ms,2022-01-07 01:49:21
Washington-DC,Shanghai,11975.0km,113.205,52.99%,226.29ms,226.99ms,0.41ms,2022-01-07 02:41:38
Washington-DC,London,5918.0km,38.51,76.86%,76.13ms,90.23ms,2.52ms,2022-01-07 02:25:49
Washington-DC,Wellington,14062.0km,100.12,70.31%,199.35ms,201.37ms,0.66ms,2022-01-07 01:48:31
Washington-DC,Mountain-View,3886.0km,42.385,53.64%,72.21ms,73.26ms,0.50ms,2022-01-07 02:39:37
Washington-DC,Mumbai,12860.0km,104.1,61.83%,208.11ms,209.12ms,0.48ms,2022-01-07 02:30:29
Washington-DC,Rangoon,15072.0km,138.95,54.02%,262.35ms,265.42ms,0.82ms,2022-01-07 02:02:09
Washington-DC,Hong-Kong,13100.0km,116.205,56.47%,232.33ms,232.68ms,0.45ms,2022-01-07 02:18:43
Washington-DC,Tokyo,10882.0km,80.61,67.59%,161.00ms,162.12ms,0.39ms,2022-01-07 02:45:41
Washington-DC,Osaka,11156.0km,85.15,65.62%,169.35ms,171.41ms,0.69ms,2022-01-07 02:32:55
Washington-DC,Warsaw,7194.0km,53.13,67.87%,106.06ms,106.37ms,0.38ms,2022-01-07 01:48:06
