Source,City,Distance,Average(ms),%of SOL f/0,min,max,mdev,Last Checked
Washington-DC,Macau,13188.0km,126.645,56.47%,232.33ms,232.68ms,0.45ms,2022-01-07 02:18:43
Washington-DC,Hanoi,13337.0km,120.485,55.57%,240.40ms,249.40ms,1.68ms,2022-01-07 02:17:57
Washington-DC,Manila,13766.0km,121.215,56.88%,242.38ms,242.72ms,0.19ms,2022-01-07 02:27:52
Washington-DC,Tapei,12634.0km,109.7,57.69%,219.32ms,219.72ms,0.30ms,2022-01-07 02:44:03
Washington-DC,Dallas,1875.0km,17.65,53.57%,33.83ms,67.18ms,5.92ms,2022-01-07 02:11:40
Washington-DC,Houston,1936.0km,14.035,69.14%,27.18ms,28.22ms,0.32ms,2022-01-07 02:19:10
Washington-DC,Kuala-Lumpur,15509.0km,133.925,62.34%,242.35ms,288.40ms,9.10ms,2022-01-07 02:27:16
Washington-DC,Singapore,15532.0km,121.575,63.92%,242.40ms,243.68ms,0.50ms,2022-01-07 02:42:15
Washington-DC,Jakarta,16344.0km,121.385,67.54%,242.06ms,245.42ms,1.04ms,2022-01-07 02:20:58
Washington-DC,Sydney,15685.0km,106.215,73.99%,212.35ms,213.40ms,0.67ms,2022-01-07 02:43:38
Washington-DC,San-Jose,3862.0km,36.265,53.64%,72.21ms,73.26ms,0.50ms,2022-01-07 02:39:37
Washington-DC,Los-Angeles,3662.0km,33.63,54.66%,67.20ms,67.81ms,0.19ms,2022-01-07 02:26:02
Washington-DC,Seattle,3707.0km,34.13,54.51%,68.18ms,68.80ms,0.19ms,2022-01-07 02:41:01
Washington-DC,Chicago,925.0km,10.62,44.05%,21.09ms,22.17ms,0.28ms,2022-01-07 02:09:13
Miami,Washington-DC,1492.0km,13.125,57.38%,26.01ms,28.16ms,0.41ms,2022-01-07 01:48:19
Miami,Atlanta,975.0km,8.28,60.94%,16.41ms,17.48ms,0.19ms,2022-01-07 02:00:56
Miami,New-York-City,1770.0km,18.195,49.17%,36.26ms,36.92ms,0.22ms,2022-01-07 02:31:41
Miami,Geneva,7704.0km,66.045,58.36%,131.95ms,132.25ms,0.40ms,2022-01-07 02:15:42
Miami,Frankfurt,7766.0km,55.015,70.60%,109.81ms,111.87ms,0.47ms,2022-01-07 02:14:53
Miami,Paris,7358.0km,54.96,67.50%,109.41ms,112.77ms,0.85ms,2022-01-07 02:33:55
Miami,Madrid,7095.0km,56.185,63.35%,112.24ms,112.85ms,0.44ms,2022-01-07 02:26:50
Miami,Dusseldorf,7604.0km,59.355,64.44%,118.41ms,119.46ms,0.52ms,2022-01-07 02:13:41
Miami,Amsterdam,7437.0km,55.805,67.00%,111.45ms,111.96ms,0.42ms,2022-01-07 02:00:22
Miami,Cairo,10437.0km,73.73,71.00%,146.32ms,156.34ms,1.85ms,2022-01-07 02:07:02
Miami,Ar-Riyad,13626.0km,106.96990000000001,64.76%,195.59ms,197.77ms,0.43ms,2022-01-07 02:13:17
Miami,Chennai,15210.0km,121.545,62.59%,242.98ms,243.20ms,0.68ms,2022-01-07 02:08:49
Miami,Colombo,15786.0km,141.05,57.80%,260.95ms,261.60ms,0.30ms,2022-01-07 02:01:57
Miami,Bangkok,15625.0km,142.545,54.82%,279.35ms,291.68ms,2.87ms,2022-01-07 02:02:09
Miami,Ho-Chi-Minh,15884.0km,127.455,62.54%,250.87ms,367.82ms,20.97ms,2022-01-07 02:18:33
Miami,Brunei,19973.0km,142.88,72.23%,235.67ms,235.89ms,0.67ms,2022-01-07 02:42:14
Miami,Lagos,9054.0km,96.175,47.16%,192.19ms,192.48ms,0.52ms,2022-01-07 02:23:36
Miami,Johannesburg,12948.0km,129.015,50.19%,257.73ms,258.31ms,0.39ms,2022-01-07 02:21:36
Miami,Cape-Town,12322.0km,120.3,51.34%,240.36ms,241.51ms,0.46ms,2022-01-07 02:07:36
Miami,Seoul,12425.0km,100.45,62.12%,200.79ms,201.03ms,0.06ms,2022-01-07 02:41:26
Miami,Dubai,12628.0km,97.98,64.76%,195.59ms,197.77ms,0.43ms,2022-01-07 02:13:17
Miami,Beijing,12652.0km,118.905,56.89%,219.63ms,220.00ms,0.54ms,2022-01-07 01:49:19
Miami,Shanghai,13277.0km,109.38,60.90%,218.61ms,218.94ms,0.46ms,2022-01-07 02:41:37
Miami,London,7130.0km,49.275,72.76%,97.88ms,107.86ms,1.86ms,2022-01-07 02:25:48
Miami,Wellington,13072.0km,103.065,63.46%,205.38ms,207.84ms,0.72ms,2022-01-07 01:48:30
Miami,Mountain-View,4148.0km,43.97,54.99%,75.52ms,76.91ms,0.27ms,2022-01-07 02:39:36
Miami,Mumbai,14246.0km,115.835,61.67%,231.52ms,232.58ms,0.36ms,2022-01-07 02:30:29
Miami,Rangoon,16545.0km,150.14499999999998,54.82%,279.35ms,291.68ms,2.87ms,2022-01-07 02:02:09
Miami,Hong-Kong,14454.0km,111.455,65.11%,222.42ms,225.57ms,0.79ms,2022-01-07 02:18:45
Miami,Tokyo,11999.0km,86.395,69.76%,172.69ms,173.01ms,0.40ms,2022-01-07 02:45:41
Miami,Osaka,12315.0km,82.005,75.09%,163.82ms,165.50ms,0.64ms,2022-01-07 02:32:55
Miami,Warsaw,8489.0km,68.11,62.42%,135.94ms,136.37ms,0.16ms,2022-01-07 01:48:06
Miami,Macau,14542.0km,121.895,65.11%,222.42ms,225.57ms,0.79ms,2022-01-07 02:18:45
Miami,Hanoi,14774.0km,132.53,55.75%,264.69ms,265.58ms,0.38ms,2022-01-07 02:17:55
Miami,Manila,14981.0km,115.065,65.13%,228.98ms,259.74ms,5.54ms,2022-01-07 02:27:52
Miami,Tapei,13906.0km,103.42,67.50%,206.67ms,207.18ms,0.42ms,2022-01-07 02:44:02
Miami,Dallas,1787.0km,16.43,55.84%,31.68ms,63.79ms,5.74ms,2022-01-07 02:11:40
Miami,Houston,1555.0km,16.125,48.59%,31.79ms,35.09ms,0.69ms,2022-01-07 02:19:10
Miami,Kuala-Lumpur,16973.0km,128.09,71.79%,231.51ms,268.08ms,8.21ms,2022-01-07 02:27:15
Miami,Singapore,16973.0km,117.88,72.23%,235.67ms,235.89ms,0.67ms,2022-01-07 02:42:14
Miami,Jakarta,17715.0km,118.69,74.75%,237.14ms,237.96ms,0.44ms,2022-01-07 02:20:57
Miami,Sydney,15029.0km,110.355,68.31%,220.44ms,222.35ms,0.67ms,2022-01-07 02:43:38
Miami,San-Jose,4124.0km,37.85,54.99%,75.52ms,76.91ms,0.27ms,2022-01-07 02:39:36
Miami,Los-Angeles,3758.0km,32.63,57.82%,65.03ms,65.39ms,0.21ms,2022-01-07 02:26:02
Miami,Seattle,4396.0km,42.095,52.33%,84.04ms,84.41ms,0.38ms,2022-01-07 02:41:01
Miami,Chicago,1915.0km,16.025,59.84%,31.92ms,32.26ms,0.23ms,2022-01-07 02:09:15
Atlanta,Washington-DC,854.0km,6.47,71.17%,12.13ms,16.26ms,0.71ms,2022-01-07 01:48:18
Atlanta,Miami,975.0km,8.265,60.94%,16.41ms,16.70ms,0.19ms,2022-01-07 02:28:50
Atlanta,New-York-City,1225.0km,9.105,68.06%,18.02ms,18.71ms,0.13ms,2022-01-07 02:31:40
Atlanta,Geneva,7415.0km,54.83,68.03%,107.72ms,162.16ms,9.75ms,2022-01-07 02:15:41
Atlanta,Frankfurt,7403.0km,52.96,70.50%,105.74ms,106.08ms,0.36ms,2022-01-07 02:14:53
Atlanta,Paris,7038.0km,48.74,72.56%,97.10ms,99.30ms,0.47ms,2022-01-07 02:33:54
Atlanta,Madrid,6947.0km,51.545,67.45%,102.81ms,105.30ms,0.62ms,2022-01-07 02:26:50
Atlanta,Dusseldorf,7230.0km,52.415,69.52%,104.61ms,105.56ms,0.48ms,2022-01-07 02:13:41
Atlanta,Amsterdam,7052.0km,47.525,74.23%,94.83ms,95.69ms,0.28ms,2022-01-07 02:00:22
Atlanta,Cairo,10219.0km,69.44,74.05%,138.15ms,141.72ms,0.82ms,2022-01-07 02:06:59
Atlanta,Ar-Riyad,13224.0km,112.6049,59.06%,206.91ms,211.80ms,0.98ms,2022-01-07 02:13:17
Atlanta,Chennai,14564.0km,116.75,62.51%,233.38ms,233.81ms,0.67ms,2022-01-07 02:08:49
Atlanta,Colombo,15184.0km,133.31,59.12%,245.48ms,246.23ms,0.70ms,2022-01-07 02:01:56
Atlanta,Bangkok,14712.0km,126.58,58.15%,247.83ms,264.27ms,5.45ms,2022-01-07 02:02:09
Atlanta,Ho-Chi-Minh,14927.0km,122.52,60.93%,244.53ms,255.45ms,2.01ms,2022-01-07 02:18:32
Atlanta,Brunei,19023.0km,143.69,67.61%,222.64ms,249.53ms,8.03ms,2022-01-07 02:42:14
Atlanta,Lagos,9402.0km,97.245,48.46%,194.18ms,194.81ms,0.64ms,2022-01-07 02:23:36
Atlanta,Johannesburg,13570.0km,121.715,55.84%,243.24ms,243.58ms,0.60ms,2022-01-07 02:21:35
Atlanta,Cape-Town,13080.0km,115.555,56.62%,230.84ms,233.92ms,0.72ms,2022-01-07 02:07:36
Atlanta,Seoul,11450.0km,93.105,61.56%,186.10ms,186.38ms,0.30ms,2022-01-07 02:41:24
Atlanta,Dubai,12226.0km,103.615,59.06%,206.91ms,211.80ms,0.98ms,2022-01-07 02:13:17
Atlanta,Beijing,11694.0km,134.54,45.82%,242.05ms,256.49ms,5.34ms,2022-01-07 01:49:21
Atlanta,Shanghai,12303.0km,101.655,60.61%,203.21ms,203.56ms,0.61ms,2022-01-07 02:41:37
Atlanta,London,6772.0km,44.19,76.95%,88.13ms,89.40ms,0.47ms,2022-01-07 02:25:48
Atlanta,Wellington,13230.0km,102.325,64.85%,203.97ms,206.25ms,0.59ms,2022-01-07 01:48:30
Atlanta,Mountain-View,3424.0km,35.29,58.62%,58.15ms,59.75ms,0.30ms,2022-01-07 02:39:36
Atlanta,Mumbai,13669.0km,108.27,63.28%,216.38ms,217.45ms,0.62ms,2022-01-07 02:30:28
Atlanta,Rangoon,15632.0km,134.18,58.15%,247.83ms,264.27ms,5.45ms,2022-01-07 02:02:09
Atlanta,Hong-Kong,13484.0km,107.265,63.01%,214.20ms,216.93ms,0.79ms,2022-01-07 02:18:43
Atlanta,Tokyo,11037.0km,73.33,75.60%,146.46ms,147.15ms,0.26ms,2022-01-07 02:45:40
Atlanta,Osaka,11347.0km,76.45,74.65%,152.65ms,153.72ms,0.58ms,2022-01-07 02:32:55
Atlanta,Warsaw,8042.0km,58.265,69.33%,116.33ms,116.75ms,0.31ms,2022-01-07 01:48:06
Atlanta,Macau,13572.0km,117.705,63.01%,214.20ms,216.93ms,0.79ms,2022-01-07 02:18:43
Atlanta,Hanoi,13831.0km,121.485,57.15%,242.62ms,243.67ms,0.61ms,2022-01-07 02:17:55
Atlanta,Manila,14010.0km,143.2,48.99%,286.15ms,286.58ms,0.56ms,2022-01-07 02:27:51
Atlanta,Tapei,12931.0km,129.22,50.12%,258.31ms,259.19ms,0.51ms,2022-01-07 02:44:02
Atlanta,Dallas,1158.0km,12.07,48.25%,22.00ms,54.16ms,7.54ms,2022-01-07 02:11:39
Atlanta,Houston,1127.0km,9.57,59.32%,18.91ms,19.43ms,0.19ms,2022-01-07 02:19:09
Atlanta,Kuala-Lumpur,16042.0km,119.545,73.13%,215.62ms,243.10ms,5.28ms,2022-01-07 02:27:13
Atlanta,Singapore,16023.0km,118.69,67.61%,222.64ms,249.53ms,8.03ms,2022-01-07 02:42:14
Atlanta,Jakarta,16741.0km,115.925,72.47%,231.55ms,233.10ms,0.65ms,2022-01-07 02:20:57
Atlanta,Sydney,14949.0km,104.005,71.87%,207.90ms,208.50ms,0.51ms,2022-01-07 02:43:38
Atlanta,San-Jose,3400.0km,29.17,58.62%,58.15ms,59.75ms,0.30ms,2022-01-07 02:39:36
Atlanta,Los-Angeles,3111.0km,24.715,63.49%,49.26ms,49.58ms,0.15ms,2022-01-07 02:26:01
Atlanta,Seattle,3506.0km,35.8,49.38%,71.52ms,71.73ms,0.19ms,2022-01-07 02:41:00
Atlanta,Chicago,945.0km,11.095,42.95%,22.05ms,22.41ms,0.12ms,2022-01-07 02:09:13
New-York-City,Washington-DC,374.0km,4.615,41.56%,8.34ms,14.27ms,1.00ms,2022-01-07 01:48:19
New-York-City,Miami,1770.0km,18.18,49.17%,36.24ms,36.67ms,0.23ms,2022-01-07 02:28:53
New-York-City,Atlanta,1225.0km,9.15,68.06%,18.17ms,18.64ms,0.18ms,2022-01-07 02:00:56
New-York-City,Geneva,6189.0km,41.65,74.57%,82.83ms,90.35ms,1.36ms,2022-01-07 02:15:42
New-York-City,Frankfurt,6180.0km,43.345,71.86%,86.61ms,86.80ms,0.28ms,2022-01-07 02:14:53
New-York-City,Paris,5812.0km,36.77,79.62%,72.77ms,77.16ms,1.17ms,2022-01-07 02:33:55
New-York-City,Madrid,5743.0km,41.01,70.04%,81.92ms,82.55ms,0.24ms,2022-01-07 02:26:50
New-York-City,Dusseldorf,6007.0km,40.285,75.09%,80.15ms,83.34ms,0.67ms,2022-01-07 02:13:41
New-York-City,Amsterdam,5830.0km,38.715,75.71%,77.29ms,77.75ms,0.38ms,2022-01-07 02:00:22
New-York-City,Cairo,8996.0km,63.575,70.83%,126.50ms,128.09ms,0.52ms,2022-01-07 02:07:02
New-York-City,Ar-Riyad,12013.0km,95.51490000000001,63.67%,172.87ms,173.34ms,0.10ms,2022-01-07 02:13:17
New-York-City,Chennai,13460.0km,120.555,55.85%,240.92ms,242.42ms,0.35ms,2022-01-07 02:08:49
New-York-City,Colombo,14054.0km,151.51,47.35%,281.87ms,282.40ms,0.59ms,2022-01-07 02:01:57
New-York-City,Bangkok,13931.0km,133.065,52.37%,265.89ms,266.88ms,0.66ms,2022-01-07 02:02:09
New-York-City,Ho-Chi-Minh,14286.0km,125.82,56.92%,251.40ms,252.80ms,0.42ms,2022-01-07 02:18:33
New-York-City,Brunei,18331.0km,145.235,63.88%,228.95ms,294.11ms,17.41ms,2022-01-07 02:42:14
New-York-City,Lagos,8445.0km,98.56,42.87%,196.72ms,198.12ms,0.48ms,2022-01-07 02:23:36
New-York-City,Johannesburg,12814.0km,113.38,56.70%,226.70ms,227.12ms,0.07ms,2022-01-07 02:21:36
New-York-City,Cape-Town,12545.0km,107.37,58.62%,214.51ms,216.53ms,0.46ms,2022-01-07 02:07:36
New-York-City,Seoul,11062.0km,98.17,56.44%,196.13ms,197.72ms,0.57ms,2022-01-07 02:41:24
New-York-City,Dubai,11015.0km,86.525,63.67%,172.87ms,173.34ms,0.10ms,2022-01-07 02:13:17
New-York-City,Beijing,11109.0km,154.075,37.64%,269.37ms,296.78ms,6.95ms,2022-01-07 01:49:23
New-York-City,Shanghai,11870.0km,133.72,44.46%,239.76ms,292.13ms,25.02ms,2022-01-07 02:41:37
New-York-City,London,5548.0km,35.43,79.26%,70.63ms,71.80ms,0.44ms,2022-01-07 02:25:51
New-York-City,Wellington,14435.0km,98.795,73.27%,196.89ms,199.03ms,0.75ms,2022-01-07 01:48:30
New-York-City,Mountain-View,4161.0km,41.105,59.96%,69.85ms,70.20ms,0.31ms,2022-01-07 02:39:36
New-York-City,Mumbai,12523.0km,101.2,62.00%,202.32ms,202.46ms,0.39ms,2022-01-07 02:30:29
New-York-City,Rangoon,14851.0km,140.665,52.37%,265.89ms,266.88ms,0.66ms,2022-01-07 02:02:09
New-York-City,Hong-Kong,12963.0km,128.42,50.64%,256.67ms,258.07ms,0.60ms,2022-01-07 02:18:45
New-York-City,Tokyo,10861.0km,88.29,61.71%,176.45ms,176.98ms,0.32ms,2022-01-07 02:45:41
New-York-City,Osaka,11117.0km,87.65,63.53%,175.11ms,176.00ms,0.53ms,2022-01-07 02:32:55
New-York-City,Warsaw,6834.0km,48.305,71.19%,96.47ms,96.80ms,0.42ms,2022-01-07 01:48:06
New-York-City,Macau,13051.0km,138.85999999999999,50.64%,256.67ms,258.07ms,0.60ms,2022-01-07 02:18:45
New-York-City,Hanoi,13150.0km,117.555,55.96%,234.61ms,243.25ms,1.60ms,2022-01-07 02:17:57
New-York-City,Manila,13686.0km,117.38,58.49%,232.96ms,284.80ms,9.29ms,2022-01-07 02:27:52
New-York-City,Tapei,12539.0km,117.85,53.36%,235.54ms,236.31ms,0.47ms,2022-01-07 02:44:02
New-York-City,Dallas,2235.0km,21.15,53.21%,41.74ms,55.42ms,2.44ms,2022-01-07 02:11:40
New-York-City,Houston,2309.0km,18.025,64.14%,35.45ms,41.27ms,1.09ms,2022-01-07 02:19:10
New-York-City,Kuala-Lumpur,15292.0km,144.69,56.63%,264.70ms,304.50ms,8.40ms,2022-01-07 02:27:16
New-York-City,Singapore,15331.0km,120.235,63.88%,228.95ms,294.11ms,17.41ms,2022-01-07 02:42:14
New-York-City,Jakarta,16172.0km,126.905,63.92%,253.69ms,254.26ms,0.67ms,2022-01-07 02:20:57
New-York-City,Sydney,16023.0km,104.765,76.67%,209.42ms,209.95ms,0.55ms,2022-01-07 02:43:38
New-York-City,San-Jose,4137.0km,34.985,59.96%,69.85ms,70.20ms,0.31ms,2022-01-07 02:39:36
New-York-City,Los-Angeles,3966.0km,36.565,54.33%,72.81ms,74.02ms,0.43ms,2022-01-07 02:26:02
New-York-City,Seattle,3892.0km,36.655,53.32%,73.23ms,73.48ms,0.26ms,2022-01-07 02:41:01
New-York-City,Chicago,1175.0km,10.595,55.95%,20.97ms,22.30ms,0.35ms,2022-01-07 02:09:13
Geneva,Washington-DC,6562.0km,45.6,72.11%,89.57ms,116.89ms,4.80ms,2022-01-07 01:48:19
Geneva,Miami,7704.0km,66.87,57.92%,131.98ms,178.45ms,8.31ms,2022-01-07 02:28:52
Geneva,Atlanta,7415.0km,54.355,68.66%,107.61ms,132.01ms,4.41ms,2022-01-07 02:00:56
Geneva,New-York-City,6189.0km,41.905,74.57%,82.80ms,107.66ms,4.44ms,2022-01-07 02:31:41
Geneva,Frankfurt,475.0km,10.795,22.62%,21.11ms,29.54ms,1.48ms,2022-01-07 02:14:53
Geneva,Paris,409.0km,6.6,31.46%,11.60ms,30.50ms,3.45ms,2022-01-07 02:33:55
Geneva,Madrid,1020.0km,16.535,30.91%,31.25ms,78.96ms,8.54ms,2022-01-07 02:26:50
Geneva,Dusseldorf,562.0km,10.355,28.10%,20.32ms,23.48ms,0.57ms,2022-01-07 02:13:41
Geneva,Amsterdam,686.0km,8.415,42.88%,16.60ms,17.90ms,0.27ms,2022-01-07 02:00:22
Geneva,Cairo,2817.0km,30.655,46.18%,59.57ms,91.79ms,5.67ms,2022-01-07 02:06:59
Geneva,Ar-Riyad,5938.0km,76.40490000000001,36.87%,131.68ms,195.95ms,11.78ms,2022-01-07 02:13:17
Geneva,Chennai,7750.0km,69.955,55.76%,139.45ms,143.15ms,1.00ms,2022-01-07 02:08:49
Geneva,Colombo,8253.0km,78.315,55.95%,134.00ms,175.70ms,7.45ms,2022-01-07 02:01:56
Geneva,Bangkok,9242.0km,97.23,47.64%,192.34ms,239.76ms,8.45ms,2022-01-07 02:02:09
Geneva,Ho-Chi-Minh,9938.0km,144.44,34.51%,281.72ms,390.48ms,26.35ms,2022-01-07 02:18:32
Geneva,Brunei,13488.0km,146.55,43.16%,242.95ms,243.62ms,0.22ms,2022-01-07 02:42:14
Geneva,Lagos,4420.0km,99.105,22.32%,197.31ms,206.15ms,1.74ms,2022-01-07 02:23:36
Geneva,Johannesburg,8352.0km,89.815,46.66%,177.30ms,241.27ms,11.45ms,2022-01-07 02:21:36
Geneva,Cape-Town,9003.0km,83.095,54.23%,165.81ms,167.79ms,0.56ms,2022-01-07 02:07:36
Geneva,Seoul,8996.0km,132.85,33.95%,265.54ms,266.60ms,0.55ms,2022-01-07 02:41:26
Geneva,Dubai,4940.0km,67.415,36.87%,131.68ms,195.95ms,11.78ms,2022-01-07 02:13:17
Geneva,Beijing,8245.0km,91.14,49.09%,162.30ms,215.75ms,9.56ms,2022-01-07 01:49:19
Geneva,Shanghai,9244.0km,82.165,56.37%,162.25ms,216.37ms,9.68ms,2022-01-07 02:41:37
Geneva,London,745.0km,11.945,32.39%,23.66ms,24.26ms,0.25ms,2022-01-07 02:25:48
Geneva,Wellington,18960.0km,143.025,66.29%,283.22ms,337.82ms,9.70ms,2022-01-07 01:48:30
Geneva,Mountain-View,9403.0km,90.06,56.16%,167.46ms,172.59ms,0.92ms,2022-01-07 02:39:36
Geneva,Mumbai,6719.0km,69.15,48.69%,134.76ms,197.89ms,12.06ms,2022-01-07 02:30:29
Geneva,Rangoon,10162.0km,104.83,47.64%,192.34ms,239.76ms,8.45ms,2022-01-07 02:02:09
Geneva,Hong-Kong,9530.0km,102.355,46.72%,202.90ms,230.42ms,5.45ms,2022-01-07 02:18:45
Geneva,Tokyo,9801.0km,121.76,40.33%,241.53ms,291.97ms,9.05ms,2022-01-07 02:45:40
Geneva,Osaka,9694.0km,110.82,43.86%,221.45ms,222.05ms,0.26ms,2022-01-07 02:32:55
Geneva,Warsaw,1270.0km,15.365,42.33%,30.44ms,33.35ms,0.54ms,2022-01-07 01:48:06
Geneva,Macau,9618.0km,112.795,46.72%,202.90ms,230.42ms,5.45ms,2022-01-07 02:18:45
Geneva,Hanoi,9048.0km,96.585,46.88%,192.83ms,193.68ms,0.27ms,2022-01-07 02:17:57
Geneva,Manila,10648.0km,131.67,40.49%,260.79ms,319.42ms,10.63ms,2022-01-07 02:27:51
Geneva,Tapei,9780.0km,127.635,38.35%,253.32ms,293.42ms,7.16ms,2022-01-07 02:44:04
Geneva,Dallas,8328.0km,65.725,63.57%,127.91ms,163.37ms,9.39ms,2022-01-07 02:11:39
Geneva,Houston,8473.0km,59.94,71.20%,119.56ms,123.21ms,0.74ms,2022-01-07 02:19:09
Geneva,Kuala-Lumpur,10360.0km,96.705,59.57%,169.87ms,190.48ms,4.43ms,2022-01-07 02:27:13
Geneva,Singapore,10488.0km,121.55,43.16%,242.95ms,243.62ms,0.22ms,2022-01-07 02:42:14
Geneva,Jakarta,11321.0km,85.405,66.59%,169.18ms,208.63ms,7.04ms,2022-01-07 02:20:57
Geneva,Sydney,16782.0km,128.685,65.30%,256.73ms,271.40ms,2.65ms,2022-01-07 02:43:38
Geneva,San-Jose,9379.0km,83.94,56.16%,167.46ms,172.59ms,0.92ms,2022-01-07 02:39:36
Geneva,Los-Angeles,9495.0km,77.83,61.26%,153.52ms,186.48ms,7.13ms,2022-01-07 02:26:02
Geneva,Seattle,8446.0km,87.7,48.26%,172.92ms,242.31ms,12.43ms,2022-01-07 02:41:00
Geneva,Chicago,7051.0km,54.825,64.69%,109.44ms,109.89ms,0.34ms,2022-01-07 02:09:13
Frankfurt,Washington-DC,6549.0km,47.355,69.67%,94.01ms,101.17ms,1.43ms,2022-01-07 01:48:19
Frankfurt,Miami,7766.0km,55.02,70.60%,109.81ms,112.11ms,0.58ms,2022-01-07 02:28:52
Frankfurt,Atlanta,7403.0km,53.02,69.84%,105.88ms,106.64ms,0.40ms,2022-01-07 02:00:56
Frankfurt,New-York-City,6180.0km,43.385,71.86%,86.63ms,87.46ms,0.35ms,2022-01-07 02:31:41
Frankfurt,Geneva,475.0km,11.505,20.65%,21.19ms,68.46ms,8.45ms,2022-01-07 02:15:42
Frankfurt,Paris,477.0km,5.35,47.70%,9.75ms,28.80ms,3.38ms,2022-01-07 02:33:55
Frankfurt,Madrid,1447.0km,14.43,51.68%,28.64ms,32.32ms,0.66ms,2022-01-07 02:26:50
Frankfurt,Dusseldorf,182.0km,6.89,14.00%,13.47ms,14.38ms,0.21ms,2022-01-07 02:13:41
Frankfurt,Amsterdam,368.0km,6.815,28.31%,13.50ms,13.98ms,0.14ms,2022-01-07 02:00:22
Frankfurt,Cairo,2918.0km,26.465,56.12%,52.15ms,57.78ms,1.18ms,2022-01-07 02:06:59
Frankfurt,Ar-Riyad,5860.0km,71.7599,38.90%,125.34ms,126.25ms,0.24ms,2022-01-07 02:13:17
